REPUBLICAN,DEM,year,state,state_po,county_name,county_fips,candidatevotes
49032,64063,2020,TEXAS,TX,CAMERON,48061,114174
18077,13856,2008,MINNESOTA,MN,OTTER TAIL,27111,32687
4902,2304,2004,GEORGIA,GA,MORGAN,13211,7242
9742,20722,2008,OHIO,OH,ATHENS,39009,31098
637,790,2020,GEORGIA,GA,CLAY,13061,1434
3791,893,2004,NEBRASKA,NE,CHEYENNE,31033,4746
3030,2821,2004,MINNESOTA,MN,STEVENS,27149,5949
9052,1084,2020,UTAH,UT,SEVIER,49041,10362
5410,988,2016,TENNESSEE,TN,JOHNSON,47091,6579
1787,1062,2008,GEORGIA,GA,LANIER,13173,2873
2736,1760,2008,TEXAS,TX,KARNES,48255,4527
50555,43179,2020,WASHINGTON,WA,YAKIMA,53077,96193
12191,6999,2008,ILLINOIS,IL,WOODFORD,17203,19483
16930,8980,2004,INDIANA,IN,WARRICK,18173,26025
1867,317,2020,COLORADO,CO,BACA,8009,2225
7315,9410,2004,MAINE,ME,FRANKLIN,23007,17136
1181,295,2000,MONTANA,MT,GRANITE,30039,1590
1168,176,2012,KANSAS,KS,GOVE,20063,1383
20179,9240,2012,KENTUCKY,KY,OLDHAM,21185,29884
11486,3395,2016,TENNESSEE,TN,BEDFORD,47003,15355
23174,5769,2020,GEORGIA,GA,WALKER,13295,29354
7452,4898,2000,INDIANA,IN,GREENE,18055,12619
67515,36480,2008,TEXAS,TX,BRAZORIA,48039,104940
12924,10234,2008,MISSOURI,MO,LINCOLN,29113,23550
24015,12942,2004,MISSISSIPPI,MS,MADISON,28089,37148
49168,19533,2012,ARIZONA,AZ,MOHAVE,4015,70010
5270,1933,2016,MISSOURI,MO,NEW MADRID,29143,7357
5378,4736,2020,ALASKA,AK,DISTRICT 24,2024,10428
2605,1197,2008,GEORGIA,GA,IRWIN,13155,3828
5101,3287,2000,MISSISSIPPI,MS,PRENTISS,28117,8482
12980,8787,2000,WISCONSIN,WI,WAUPACA,55135,22804
21480,57359,2012,MASSACHUSETTS,MA,HAMPSHIRE,25015,81621
